qubits,M,tau,num_iters,num_states,fidelity
2,10,0.1,1,10,0.99999999999998
3,10,0.1,1,10,1.000000000000011
4,10,0.1,1,10,0.9999999999999027
5,10,0.1,1,10,0.9999999999997486
6,10,0.1,1,10,0.4202512636221713
6,10,0.1,2,20,0.9943764063633848
7,10,0.1,1,10,0.4438989042495774
7,10,0.1,2,20,0.42104208383799974
7,10,0.1,3,30,0.4210420838385113
7,10,0.1,4,40,1.0000000000057025
8,10,0.1,1,10,0.005498935819054524
8,10,0.1,2,20,0.10122652342817744
8,10,0.1,3,30,0.10122652342810474
8,10,0.1,4,40,0.10401272448786679
8,10,0.1,5,50,0.7644060909470245
8,10,0.1,6,60,0.9999999999967824
9,10,0.1,1,10,0.007404092828075414
9,10,0.1,2,20,0.007404092828076344
9,10,0.1,3,30,0.037542785449381354
9,10,0.1,4,40,0.0607227279529498
9,10,0.1,5,50,0.13262333068264065
9,10,0.1,6,60,0.263135466750445
9,10,0.1,7,70,0.26883087362037034
9,10,0.1,8,80,0.2810225400621193
9,10,0.1,9,90,0.29898219338233295
9,10,0.1,10,100,0.33259861855706174
9,10,0.1,11,110,0.49573153349828725
9,10,0.1,12,120,0.7086195787525131
9,10,0.1,13,130,0.9999999999932827
