qubits,M,tau,num_iters,num_states,fidelity
2,10,0.1,1,10,0.9999999999998028
3,10,0.1,1,10,0.9999999999999478
4,10,0.1,1,10,0.2829093145464994
4,10,0.1,2,20,1.0000000002219394
5,10,0.1,1,10,0.2984955638533063
5,10,0.1,2,20,1.000000258362794
6,10,0.1,1,10,0.32070016918663674
6,10,0.1,2,20,0.00985760116301427
6,10,0.1,3,30,0.24504511813548194
6,10,0.1,4,40,1.0007928339626904
7,10,0.1,1,10,0.0037093816492799435
7,10,0.1,2,20,0.09646962441564351
7,10,0.1,3,30,0.2468334683304289
7,10,0.1,4,40,0.6909423943728303
7,10,0.1,5,50,1.000000463405419
8,10,0.1,1,10,0.05393048562289304
8,10,0.1,2,20,0.06250526900018012
8,10,0.1,3,30,0.06527947538317848
8,10,0.1,4,40,0.01598542485385942
8,10,0.1,5,50,0.09928147455053069
8,10,0.1,6,60,0.0325431305395387
8,10,0.1,7,70,0.521682481222376
8,10,0.1,8,80,0.9175807918412264
8,10,0.1,9,90,1.0000008200676886
9,10,0.1,1,10,0.07565298215142545
9,10,0.1,2,20,0.03635624610598434
9,10,0.1,3,30,0.07123759939971355
9,10,0.1,4,40,0.3376261750254596
9,10,0.1,5,50,0.289518955367853
9,10,0.1,6,60,0.09138931247613555
9,10,0.1,7,70,0.2708476375159797
9,10,0.1,8,80,0.34460929134638474
9,10,0.1,9,90,0.5006252935283444
9,10,0.1,10,100,0.542655317661688
9,10,0.1,11,110,0.6415767031361604
9,10,0.1,12,120,0.999974296433127
9,10,0.1,13,130,0.9999993126453437
