qubits,num_iters,num_states,fidelity
2,1,2,0.9999999999999853
3,1,2,1.000000000000011
4,1,2,0.4495116860271329
4,2,3,0.18903994217153455
4,3,4,0.8031802730957791
4,4,5,0.999999999999905
5,1,2,0.37475495688143085
5,2,3,0.07963095854517281
5,3,4,0.783775509808974
5,4,5,0.766236299181589
5,5,6,0.9999999999997407
6,1,2,0.33438314119221624
6,2,3,0.04864774957011504
6,3,4,0.2120497506054895
6,4,5,0.19328021257262518
6,5,6,0.25790468940195066
6,6,7,0.7203500394313089
6,7,8,0.21373685423143543
6,8,9,0.16766979686839983
6,9,10,0.7669169401693744
6,10,11,0.703362381828929
6,11,12,0.8587115033497885
6,12,13,0.9986754788075074
7,1,2,0.14107808771159305
7,2,3,0.04533759853903016
7,3,4,0.25855986815456833
7,4,5,0.13889577584352306
7,5,6,0.5816516858219986
7,6,7,0.5234812444779341
7,7,8,0.4177836571333316
7,8,9,0.5080031468522335
7,9,10,0.3056468730474321
7,10,11,0.5090273779392355
7,11,12,0.36876000692068267
7,12,13,0.388959606102443
7,13,14,0.8908636340874085
7,14,15,0.8715536077487178
7,15,16,0.9998579539263517
8,1,2,0.032621835770260205
8,2,3,0.0492943654035249
8,3,4,0.02563331243881626
8,4,5,0.0750985781422416
8,5,6,0.0047230220273453685
8,6,7,0.10847649716684891
8,7,8,0.03516295188002766
8,8,9,0.34630939975939723
8,9,10,0.4590816866883867
8,10,11,0.21096337175237653
8,11,12,0.034951113550181066
8,12,13,0.25818259143776967
8,13,14,0.4151533915181911
8,14,15,0.47349935861631354
8,15,16,0.45989643161393845
8,16,17,0.41777283520900166
8,17,18,0.4757347654722774
8,18,19,0.4875174210241871
8,19,20,0.5063292738782033
8,20,21,0.8149271857914211
8,21,22,0.33855744023662343
8,22,23,0.7500623384417382
8,23,24,0.7143560261981449
8,24,25,0.7555549856972051
8,25,26,0.7639249467638697
8,26,27,0.8691758453172704
8,27,28,0.9633177758351008
8,28,29,0.9414805093735218
8,29,30,0.975696951616004
8,30,31,0.8291705804870533
8,31,32,0.9767993265121481
8,32,33,0.920971547595239
8,33,34,0.9896782579776591
8,34,35,0.9924061037630133
9,1,2,0.038435229631302206
9,2,3,0.0914692146090135
9,3,4,0.01915784295918057
9,4,5,0.1815672491938914
9,5,6,0.02481689504467496
9,6,7,0.10040244499203163
9,7,8,0.154006551388461
9,8,9,0.20671221432198994
9,9,10,0.092662557015492
9,10,11,0.13548458822743042
9,11,12,0.305246803590182
9,12,13,0.2903813738533274
9,13,14,0.2721758359247733
9,14,15,0.14971546383551268
9,15,16,0.32734153615512335
9,16,17,0.3514543882880023
9,17,18,0.030679410357779182
9,18,19,0.3072600852486107
9,19,20,0.6007177110687848
9,20,21,0.5841729133322016
9,21,22,0.5940137868385835
9,22,23,0.7295437707941499
9,23,24,0.4277109073433351
9,24,25,0.7074631991333431
9,25,26,0.5255755707692396
9,26,27,0.7317658685370568
9,27,28,0.5145843351786338
9,28,29,0.6956238467157554
9,29,30,0.584934746653211
9,30,31,0.7191349894566724
9,31,32,0.6698507401169478
9,32,33,0.8347658894703717
9,33,34,0.6803512143329097
9,34,35,0.8930590190322722
9,35,36,0.6954935000386828
9,36,37,0.9161507744932247
9,37,38,0.8227636110865824
9,38,39,0.8844264358192169
9,39,40,0.8697236890693905
9,40,41,0.8707809548493544
9,41,42,0.9312942029295985
9,42,43,0.8879290030022862
9,43,44,0.9320933648094708
9,44,45,0.8996713916026674
9,45,46,0.9625737316516829
9,46,47,0.9406931434248487
9,47,48,0.9705058614277282
9,48,49,0.976798620345041
9,49,50,0.9850520071428527
9,50,51,0.9881586326364751
9,51,52,0.9863274843999842
9,52,53,0.9926222423025847
10,1,2,0.05112374467389581
10,2,3,0.034774338599919304
10,3,4,0.09066611016293322
10,4,5,0.150436726294205
10,5,6,0.03108811014201835
10,6,7,0.006727745125519901
10,7,8,0.13388630085940997
10,8,9,0.07419207729186504
10,9,10,0.07587784989644267
10,10,11,0.0641472915619177
10,11,12,0.011730040046780119
10,12,13,0.25401898651158444
10,13,14,0.15760533302033292
10,14,15,0.003480565503562421
10,15,16,0.007389921305740922
10,16,17,0.19422702028941732
10,17,18,0.1234313559213926
10,18,19,0.20613479943017743
10,19,20,0.31061446124877645
10,20,21,0.07231028414374119
10,21,22,0.14341799209395392
10,22,23,0.36512985069514836
10,23,24,0.21421842092308735
10,24,25,0.23086309068288696
10,25,26,0.20199255529286314
10,26,27,0.16888635891036577
10,27,28,0.47659887911005566
10,28,29,0.290012775380108
10,29,30,0.2809567011101254
10,30,31,0.32644236651013
10,31,32,0.438898751262018
10,32,33,0.26128702261352793
10,33,34,0.4519222192233871
10,34,35,0.40851146502457486
10,35,36,0.2283343448335686
10,36,37,0.4603745429183554
10,37,38,0.36604541164585275
10,38,39,0.3088561680422033
10,39,40,0.5814807185477958
10,40,41,0.5619779446945463
10,41,42,0.45941877109739254
10,42,43,0.4695128427891432
10,43,44,0.5644719277129279
10,44,45,0.37053157777986984
10,45,46,0.5567873138406162
10,46,47,0.5124705142287709
10,47,48,0.5535302208442555
10,48,49,0.43502405255179827
10,49,50,0.6135617231726999
10,50,51,0.5494620799102308
10,51,52,0.46811874969006007
10,52,53,0.5530556550224784
10,53,54,0.6751015637742825
10,54,55,0.6041055641791897
10,55,56,0.6970926761286161
10,56,57,0.601490100505185
10,57,58,0.6050221244987608
10,58,59,0.6262347131413842
10,59,60,0.7878193729337958
10,60,61,0.7855438260492268
10,61,62,0.8269215712681081
10,62,63,0.7776756761035821
10,63,64,0.786837100525694
10,64,65,0.7878678967339494
10,65,66,0.7838505837119718
10,66,67,0.8458306216900152
10,67,68,0.74233001925163
10,68,69,0.8471278290383569
10,69,70,0.8102675878255149
10,70,71,0.8913706276344974
10,71,72,0.8974550009254026
10,72,73,0.8152726225759901
10,73,74,0.9161008883962002
10,74,75,0.8700237126695799
10,75,76,0.9080494704976477
10,76,77,0.9011056162453269
10,77,78,0.9078464537089391
10,78,79,0.9374097225525166
10,79,80,0.9096461141519666
10,80,81,0.9519310752102244
10,81,82,0.9494003870603429
10,82,83,0.9501066307057708
10,83,84,0.944421293466365
10,84,85,0.9548876884520732
10,85,86,0.9551921448047291
10,86,87,0.9607509976903639
10,87,88,0.9762082475077243
10,88,89,0.9801975052194585
10,89,90,0.9918999998964978
