qubits,M,tau,num_iters,num_states,fidelity
2,5,0.1,1,5,0.9999999999998459
3,5,0.1,1,5,0.9999999999999809
4,5,0.1,1,5,0.28426889837814756
4,5,0.1,2,10,0.9999999996780611
5,5,0.1,1,5,0.2997390470924857
5,5,0.1,2,10,0.9999998909306268
6,5,0.1,1,5,0.32226648149376014
6,5,0.1,2,10,0.04615967382167074
6,5,0.1,3,15,0.22820133494976513
6,5,0.1,4,20,0.9998847970013719
7,5,0.1,1,5,0.003541015295572277
7,5,0.1,2,10,0.3227653856766394
7,5,0.1,3,15,0.27861968609771604
7,5,0.1,4,20,0.35700880058675066
7,5,0.1,5,25,0.9999805356150644
8,5,0.1,1,5,0.05517096953511119
8,5,0.1,2,10,0.01958255032862174
8,5,0.1,3,15,0.03705255803489615
8,5,0.1,4,20,0.19478502603063155
8,5,0.1,5,25,0.1954529244673932
8,5,0.1,6,30,0.23845901421212137
8,5,0.1,7,35,0.06042503038112707
8,5,0.1,8,40,0.04242714266074662
8,5,0.1,9,45,0.3532639634437246
8,5,0.1,10,50,0.41817397839649617
8,5,0.1,11,55,0.8103775608010267
8,5,0.1,12,60,1.0000000145528039
9,5,0.1,1,5,0.07640320640777903
9,5,0.1,2,10,0.20217397202569284
9,5,0.1,3,15,0.005750842353338558
9,5,0.1,4,20,0.0297442310963581
9,5,0.1,5,25,0.15376680577039964
9,5,0.1,6,30,0.1074065438556311
9,5,0.1,7,35,0.20498253056677843
9,5,0.1,8,40,0.15310404063986274
9,5,0.1,9,45,0.17316691955929747
9,5,0.1,10,50,0.14087979945001286
9,5,0.1,11,55,0.22726682273559823
9,5,0.1,12,60,0.31862701271226834
9,5,0.1,13,65,0.4967227548152862
9,5,0.1,14,70,0.5225655287518324
9,5,0.1,15,75,0.5550292681172884
9,5,0.1,16,80,0.5990428436287051
9,5,0.1,17,85,0.9999984784327552
10,5,0.1,1,5,0.07565989057282013
10,5,0.1,2,10,0.06436427730008179
10,5,0.1,3,15,0.026621487755450618
10,5,0.1,4,20,0.0033181851552867504
10,5,0.1,5,25,0.041311930896133865
10,5,0.1,6,30,0.005280794929337415
10,5,0.1,7,35,0.17829616811939952
10,5,0.1,8,40,0.09382235731352886
10,5,0.1,9,45,0.07826403010567456
10,5,0.1,10,50,0.17929766777568631
10,5,0.1,11,55,0.016014673561347843
10,5,0.1,12,60,0.03382279102685212
10,5,0.1,13,65,0.0792421183747472
10,5,0.1,14,70,0.13711920770280153
10,5,0.1,15,75,0.17818562371539232
10,5,0.1,16,80,0.17350415461725444
10,5,0.1,17,85,0.28715413686429253
10,5,0.1,18,90,0.22572251978745628
10,5,0.1,19,95,0.17035247943545612
10,5,0.1,20,100,0.2931568338118256
10,5,0.1,21,105,0.34619980775514525
10,5,0.1,22,110,0.27811168823824123
10,5,0.1,23,115,0.3065796169828144
10,5,0.1,24,120,0.38237936766052033
10,5,0.1,25,125,0.32490616909734377
10,5,0.1,26,130,0.3020552415084725
10,5,0.1,27,135,0.31727713672595387
10,5,0.1,28,140,0.39637574594807723
10,5,0.1,29,145,0.4322680043082495
10,5,0.1,30,150,0.5501549258660512
10,5,0.1,31,155,0.6124262494725501
10,5,0.1,32,160,0.58868384016595
10,5,0.1,33,165,0.6455263956828382
10,5,0.1,34,170,0.736435230261881
10,5,0.1,35,175,0.858526519219912
10,5,0.1,36,180,1.0000000094409565
11,5,0.1,1,5,0.036911401657044735
11,5,0.1,2,10,0.28367905717341174
11,5,0.1,3,15,0.3698951951966474
11,5,0.1,4,20,0.021094878955798976
11,5,0.1,5,25,0.018431335242427724
11,5,0.1,6,30,0.04500765103482243
11,5,0.1,7,35,0.05465595448160399
11,5,0.1,8,40,0.07077669396530847
11,5,0.1,9,45,0.16390194206317213
11,5,0.1,10,50,0.14181557861897667
11,5,0.1,11,55,0.008092065439264932
11,5,0.1,12,60,0.10673733310673332
11,5,0.1,13,65,0.12060321888161224
11,5,0.1,14,70,0.1266096586333083
11,5,0.1,15,75,0.04410915249697489
11,5,0.1,16,80,0.10498006896155385
11,5,0.1,17,85,0.17106908284265074
11,5,0.1,18,90,0.1603414281785851
11,5,0.1,19,95,0.17679405310330282
