qubits,M,tau,num_iters,num_states,fidelity
2,5,0.1,1,5,0.9999999999998272
3,5,0.1,1,5,0.9999999973841933
4,5,0.1,1,5,0.56982289717252
4,5,0.1,2,10,0.9999999999997993
5,5,0.1,1,5,0.16524730897032838
5,5,0.1,2,10,0.7392965511602136
5,5,0.1,3,15,0.8975117870378478
5,5,0.1,4,20,0.8957265560723676
5,5,0.1,5,25,0.9999484705893565
6,5,0.1,1,5,0.35790758167184544
6,5,0.1,2,10,0.6009893098929018
6,5,0.1,3,15,0.49592618479734807
6,5,0.1,4,20,0.8807104954668634
6,5,0.1,5,25,0.9806787519080518
6,5,0.1,6,30,0.999999999944668
7,5,0.1,1,5,0.17315684756930924
7,5,0.1,2,10,0.6131494410049182
7,5,0.1,3,15,0.34059653257489775
7,5,0.1,4,20,0.362260921544967
7,5,0.1,5,25,0.7011453755087654
7,5,0.1,6,30,0.49551415168217466
7,5,0.1,7,35,0.3457729963038154
7,5,0.1,8,40,0.41733346029816565
7,5,0.1,9,45,0.7452846465978966
7,5,0.1,10,50,0.4120605561765186
7,5,0.1,11,55,0.8059871807148062
7,5,0.1,12,60,0.8321444146484994
7,5,0.1,13,65,0.9224265207479351
7,5,0.1,14,70,0.9495609786050657
7,5,0.1,15,75,0.9568800389855032
7,5,0.1,16,80,0.964879412481247
7,5,0.1,17,85,0.9211676800031176
7,5,0.1,18,90,0.947703370774319
7,5,0.1,19,95,0.9789846401433632
7,5,0.1,20,100,0.9896729372825843
7,5,0.1,21,105,0.9999999999085034
8,5,0.1,1,5,0.08495173228887576
8,5,0.1,2,10,0.06712073371753055
8,5,0.1,3,15,0.010150745862274504
8,5,0.1,4,20,0.0951540513136466
8,5,0.1,5,25,0.054069881693519645
8,5,0.1,6,30,0.18131464757524707
8,5,0.1,7,35,0.16489400648205282
8,5,0.1,8,40,0.46231438733011376
8,5,0.1,9,45,0.40438405655325904
8,5,0.1,10,50,0.5722118831274744
8,5,0.1,11,55,0.564751411699648
8,5,0.1,12,60,0.6938829504804485
8,5,0.1,13,65,0.7586645421664238
8,5,0.1,14,70,0.7921154168589728
8,5,0.1,15,75,0.8454477871274034
8,5,0.1,16,80,0.9043504751592245
8,5,0.1,17,85,0.952693484823357
8,5,0.1,18,90,0.9765556793808687
8,5,0.1,19,95,1.0000000002340306
