qubits,M,tau,num_iters,num_states,fidelity
2,30,0.1,1,30,0.9999999999998339
3,30,0.1,1,30,1.0000000000002784
4,30,0.1,1,30,1.0000000000003482
5,30,0.1,1,30,1.0000000000405902
6,30,0.1,1,30,1.000000000064594
7,30,0.1,1,30,0.2502656564665392
7,30,0.1,2,60,0.9916551832180278
8,30,0.1,1,30,0.13344663573880594
8,30,0.1,2,60,0.9494077202344079
8,30,0.1,3,90,0.9999999999924785
9,30,0.1,1,30,0.4192291904675637
9,30,0.1,2,60,0.1703202000044772
9,30,0.1,3,90,0.4467729404204325
9,30,0.1,4,120,0.743900404842284
9,30,0.1,5,150,0.7995026690775743
9,30,0.1,6,180,0.9125504575904605
9,30,0.1,7,210,0.974885181189083
9,30,0.1,8,240,0.9971294260433707
10,30,0.1,1,30,0.19336581917426277
10,30,0.1,2,60,0.2491454089521698
10,30,0.1,3,90,0.6945644335167763
10,30,0.1,4,120,0.7161472698536034
10,30,0.1,5,150,0.7551327839705918
10,30,0.1,6,180,0.8032482978809051
10,30,0.1,7,210,0.8331803716129
10,30,0.1,8,240,0.8628019160379866
10,30,0.1,9,270,0.8938346051543586
10,30,0.1,10,300,0.9304265126252954
10,30,0.1,11,330,0.9542815818385363
10,30,0.1,12,360,0.9712078247653078
10,30,0.1,13,390,0.9844738980188079
10,30,0.1,14,420,0.992646441551228
